,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
0,329,PROVENANCE,1.9532065e+07,2.0202129e+07,2.383551e+07,3.3683102e+07,6.861272885e+09,,,dispatcher_enforce_time,SUMMARY,time-to-ingest-4k,10,2019-09-29 19:48:39.501647127
1,329,PROVENANCE,1.9540541e+07,2.0211941e+07,2.3837833e+07,3.36882e+07,6.864503853e+09,,,dispatcher_total_time,SUMMARY,time-to-ingest-4k,10,2019-09-29 19:48:39.501647127
2,,PROVENANCE,,,,,,329,,dispatcher_enforcment_count,COUNTER,time-to-ingest-4k,10,2019-09-29 19:48:39.501647127
3,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,time-to-ingest-4k,10,2019-09-29 19:48:39.501647127
4,359,PROVENANCE,1.9523701e+07,2.0149161e+07,2.3628325e+07,3.3683102e+07,7.463117564e+09,,,dispatcher_enforce_time,SUMMARY,time-to-ingest-4k,10,2019-09-29 19:48:42.501612106
5,359,PROVENANCE,1.9531083e+07,2.0156989e+07,2.3662667e+07,3.36882e+07,7.466796646e+09,,,dispatcher_total_time,SUMMARY,time-to-ingest-4k,10,2019-09-29 19:48:42.501612106
6,,PROVENANCE,,,,,,359,,dispatcher_enforcment_count,COUNTER,time-to-ingest-4k,10,2019-09-29 19:48:42.501612106
7,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,time-to-ingest-4k,10,2019-09-29 19:48:42.501612106
8,389,PROVENANCE,1.9497058e+07,2.0139912e+07,2.3444203e+07,3.3683102e+07,8.071525762e+09,,,dispatcher_enforce_time,SUMMARY,time-to-ingest-4k,10,2019-09-29 19:48:45.501605593
9,389,PROVENANCE,1.9502566e+07,2.0142408e+07,2.3481666e+07,3.36882e+07,8.075437162e+09,,,dispatcher_total_time,SUMMARY,time-to-ingest-4k,10,2019-09-29 19:48:45.501605593
10,,PROVENANCE,,,,,,389,,dispatcher_enforcment_count,COUNTER,time-to-ingest-4k,10,2019-09-29 19:48:45.501605593
11,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,time-to-ingest-4k,10,2019-09-29 19:48:45.501605593
12,419,PROVENANCE,1.948256e+07,2.0139912e+07,2.329882e+07,3.3683102e+07,8.682194534e+09,,,dispatcher_enforce_time,SUMMARY,time-to-ingest-4k,10,2019-09-29 19:48:48.501608093
13,419,PROVENANCE,1.9491023e+07,2.0142408e+07,2.3303622e+07,3.36882e+07,8.686261865e+09,,,dispatcher_total_time,SUMMARY,time-to-ingest-4k,10,2019-09-29 19:48:48.501608093
14,,PROVENANCE,,,,,,419,,dispatcher_enforcment_count,COUNTER,time-to-ingest-4k,10,2019-09-29 19:48:48.501608093
