,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
0,1259,PROVENANCE,2.4806878e+07,2.5509029e+07,2.7372169e+07,3.9783392e+07,3.2342856793e+10,,,dispatcher_enforce_time,SUMMARY,time-to-violation,20,2019-09-20 18:22:59.530868667
1,1259,PROVENANCE,2.480793e+07,2.5514005e+07,2.7384647e+07,3.9755207e+07,3.2347545784e+10,,,dispatcher_total_time,SUMMARY,time-to-violation,20,2019-09-20 18:22:59.530868667
2,,PROVENANCE,,,,,,1259,,dispatcher_enforcment_count,COUNTER,time-to-violation,20,2019-09-20 18:22:59.530868667
3,1319,PROVENANCE,2.4832103e+07,2.5576395e+07,2.7444387e+07,3.9783392e+07,3.3947417317e+10,,,dispatcher_enforce_time,SUMMARY,time-to-violation,20,2019-09-20 18:23:02.530828170
4,1319,PROVENANCE,2.4833424e+07,2.5577509e+07,2.7453857e+07,3.9755207e+07,3.3952295177e+10,,,dispatcher_total_time,SUMMARY,time-to-violation,20,2019-09-20 18:23:02.530828170
5,,PROVENANCE,,,,,,1319,,dispatcher_enforcment_count,COUNTER,time-to-violation,20,2019-09-20 18:23:02.530828170
6,1379,PROVENANCE,2.4856375e+07,2.5591967e+07,2.7470952e+07,3.9783392e+07,3.5530384104e+10,,,dispatcher_enforce_time,SUMMARY,time-to-violation,20,2019-09-20 18:23:05.530822549
7,1379,PROVENANCE,2.4858023e+07,2.5596229e+07,2.7484795e+07,3.9755207e+07,3.5535379498e+10,,,dispatcher_total_time,SUMMARY,time-to-violation,20,2019-09-20 18:23:05.530822549
8,,PROVENANCE,,,,,,1379,,dispatcher_enforcment_count,COUNTER,time-to-violation,20,2019-09-20 18:23:05.530822549
9,1439,PROVENANCE,2.4865858e+07,2.5590036e+07,2.7453625e+07,3.9783392e+07,3.7074986382e+10,,,dispatcher_enforce_time,SUMMARY,time-to-violation,20,2019-09-20 18:23:08.530836260
10,1439,PROVENANCE,2.4868626e+07,2.559252e+07,2.7454356e+07,3.9755207e+07,3.7080122569e+10,,,dispatcher_total_time,SUMMARY,time-to-violation,20,2019-09-20 18:23:08.530836260
11,,PROVENANCE,,,,,,1439,,dispatcher_enforcment_count,COUNTER,time-to-violation,20,2019-09-20 18:23:08.530836260
12,1499,PROVENANCE,2.4872869e+07,2.5591967e+07,2.7438879e+07,3.9783392e+07,3.8612275893e+10,,,dispatcher_enforce_time,SUMMARY,time-to-violation,20,2019-09-20 18:23:11.530790220
