,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
36,599,PROVENANCE,77374,86614,157252,2.083589e+06,6.5324595e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:36.990034941
37,599,PROVENANCE,91094,101001,175220,2.094677e+06,7.4822297e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:36.990034941
38,,PROVENANCE,,,,,,599,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:36.990034941
39,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:36.990034941
40,629,PROVENANCE,77376,86616,153988,2.083589e+06,6.8119207e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:39.990132154
41,629,PROVENANCE,91094,101077,174751,2.094677e+06,7.803489e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:39.990132154
42,,PROVENANCE,,,,,,629,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:39.990132154
43,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:39.990132154
44,659,PROVENANCE,77407,86468,153223,2.083589e+06,7.0999063e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:42.990115579
45,659,PROVENANCE,90979,100542,173038,2.094677e+06,8.130773e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:42.990115579
46,,PROVENANCE,,,,,,659,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:42.990115579
47,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:42.990115579
48,689,PROVENANCE,77407,86152,152175,2.083589e+06,7.3675574e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:45.990145718
49,689,PROVENANCE,90918,100401,169759,2.094677e+06,8.4391639e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:45.990145718
50,,PROVENANCE,,,,,,689,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:45.990145718
51,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:45.990145718
52,719,PROVENANCE,77279,86050,143608,2.083589e+06,7.6302812e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:48.990156530
53,719,PROVENANCE,90654,100291,167788,2.094677e+06,8.7412891e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:48.990156530
54,,PROVENANCE,,,,,,719,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:48.990156530
55,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:48.990156530
56,749,PROVENANCE,77357,85878,141928,2.083589e+06,7.9092944e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:51.990159537
57,749,PROVENANCE,90821,100291,167788,2.094677e+06,9.0896452e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:51.990159537
58,,PROVENANCE,,,,,,749,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:51.990159537
59,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:51.990159537
60,779,PROVENANCE,77279,85844,141730,2.083589e+06,8.192939e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:54.990135007
61,779,PROVENANCE,90734,100250,165806,2.094677e+06,9.4203725e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:54.990135007
62,,PROVENANCE,,,,,,779,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:54.990135007
63,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:54.990135007
64,809,PROVENANCE,77374,85878,137074,2.083589e+06,8.4662798e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:57.990118302
65,809,PROVENANCE,90979,100291,164193,2.094677e+06,9.7444837e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:57.990118302
66,,PROVENANCE,,,,,,809,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:57.990118302
67,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:57.990118302
68,839,PROVENANCE,77407,85877,135436,2.083589e+06,8.7417001e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:00.990094837
69,839,PROVENANCE,91067,100224,162523,2.094677e+06,1.00533042e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:00.990094837
70,,PROVENANCE,,,,,,839,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:22:00.990094837
71,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:22:00.990094837
72,869,PROVENANCE,77624,86152,135436,2.083589e+06,9.040727e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:03.990065297
73,869,PROVENANCE,91335,100312,160332,2.094677e+06,1.03884416e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:03.990065297
74,,PROVENANCE,,,,,,869,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:22:03.990065297
75,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:22:03.990065297
76,899,PROVENANCE,77717,86177,135115,2.083589e+06,9.3260026e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:06.990067819
77,899,PROVENANCE,91406,100271,156309,2.094677e+06,1.07136914e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:06.990067819
78,,PROVENANCE,,,,,,899,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:22:06.990067819
79,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:22:06.990067819
80,900,PROVENANCE,77717,86177,134413,2.083589e+06,9.3370051e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:09.990114633
81,900,PROVENANCE,91406,100271,155964,2.094677e+06,1.07255515e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:09.990114633
82,,PROVENANCE,,,,,,900,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:22:09.990114633
83,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:22:09.990114633
84,900,PROVENANCE,77717,86177,134413,2.083589e+06,9.3370051e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:12.990135568
85,900,PROVENANCE,91406,100271,155964,2.094677e+06,1.07255515e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:12.990135568
86,,PROVENANCE,,,,,,900,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:22:12.990135568
87,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:22:12.990135568
88,900,PROVENANCE,77717,86177,134413,2.083589e+06,9.3370051e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:15.990159720
89,900,PROVENANCE,91406,100271,155964,2.094677e+06,1.07255515e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:15.990159720
90,,PROVENANCE,,,,,,900,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:22:15.990159720
91,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:22:15.990159720
92,900,PROVENANCE,77717,86177,134413,2.083589e+06,9.3370051e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:18.990179190
93,900,PROVENANCE,91406,100271,155964,2.094677e+06,1.07255515e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:22:18.990179190
94,,PROVENANCE,,,,,,900,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:22:18.990179190
95,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:22:18.990179190
96,1559,PROVENANCE,77980,86472,127295,2.083589e+06,1.54052259e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:22:54.995284914
97,1559,PROVENANCE,91594,100408,144661,2.094677e+06,1.77816799e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:22:54.995284914
98,,PROVENANCE,,,,,,1559,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:22:54.995284914
99,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:22:54.995284914
