,count,quantiles.0.5,quantiles.0.9,quantiles.0.99,sum,labels.type,quantiles.0,quantiles.0.01,quantiles.0.1,quantiles.0.25,quantiles.0.75,quantiles.1,help,name,type,ColdStart,ExpLabel,Timestamp
0,112,30777,50993,66185,3.844996e+06,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:06.208526783
1,46,2.56289368e+08,4.56322642e+08,,1.1380379991e+10,queued,1.6552549e+07,1.6552549e+07,5.6309113e+07,1.16733055e+08,3.5635999e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:06.208526783
2,155,29926,50629,71104,5.118708e+06,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:09.208549867
3,60,2.56272095e+08,4.39703121e+08,,1.4612544986e+10,queued,1.6538289e+07,1.6538289e+07,5.6309113e+07,1.16703577e+08,3.5635999e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:09.208549867
4,6,4.223343123e+09,5.325484617e+09,,2.8270682519e+10,running,4.023637217e+09,4.023637217e+09,4.023637217e+09,4.023637217e+09,5.124297224e+09,5.448583795e+09,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:09.208549867
5,179,29610,50826,71978,5.895116e+06,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:12.208555307
6,60,2.56272095e+08,4.39703121e+08,,1.4612544986e+10,queued,1.6538289e+07,1.6538289e+07,5.6309113e+07,1.16703577e+08,3.5635999e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:12.208555307
7,18,5.327503034e+09,6.32766845e+09,,9.6573530263e+10,running,4.023637217e+09,4.023637217e+09,4.023637217e+09,4.423345022e+09,6.128314654e+09,6.424672111e+09,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:12.208555307
8,180,29610,50826,71978,5.921426e+06,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:15.208548565
9,60,2.56272095e+08,4.39703121e+08,,1.4612544986e+10,queued,1.6538289e+07,1.6538289e+07,5.6309113e+07,1.16703577e+08,3.5635999e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:15.208548565
10,30,5.424250023e+09,6.332981873e+09,,1.65217910943e+11,running,4.023637217e+09,4.023637217e+09,4.223343123e+09,5.023649037e+09,6.223266431e+09,6.424672111e+09,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:15.208548565
11,289,30156,52169,71978,9.655504e+06,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:36.726670958
12,106,2.44045894e+08,4.44071611e+08,,2.5596825923e+10,queued,1.5881035e+07,1.5881035e+07,4.4028199e+07,1.16609393e+08,3.56216947e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:36.726670958
13,320,30156,50993,71104,1.0647111e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:39.726628634
14,120,2.44009621e+08,4.39703121e+08,,2.8720442492e+10,queued,1.5881035e+07,1.5881035e+07,4.3970552e+07,1.16590819e+08,3.56216947e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:39.726628634
15,1,5.423968457e+09,5.423968457e+09,,5.423968457e+09,running,5.423968457e+09,5.423968457e+09,5.423968457e+09,5.423968457e+09,5.423968457e+09,5.423968457e+09,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:39.726628634
16,349,29720,50709,71104,1.149151e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:42.726663326
17,120,2.44009621e+08,4.39703121e+08,,2.8720442492e+10,queued,1.5881035e+07,1.5881035e+07,4.3970552e+07,1.16590819e+08,3.56216947e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:42.726663326
18,8,5.423968457e+09,7.229098391e+09,,4.9708777607e+10,running,5.022697625e+09,5.022697625e+09,5.022697625e+09,5.222773164e+09,7.123847833e+09,7.434184317e+09,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:42.726663326
19,360,29610,50629,71104,1.1792641e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:45.726632407
20,120,2.44009621e+08,4.39703121e+08,,2.8720442492e+10,queued,1.5881035e+07,1.5881035e+07,4.3970552e+07,1.16590819e+08,3.56216947e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:45.726632407
21,20,7.223825604e+09,9.32753476e+09,,1.52210949907e+11,running,5.022697625e+09,5.022697625e+09,5.222773164e+09,7.023177111e+09,9.127009553e+09,9.425124933e+09,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:45.726632407
22,360,29610,50629,71104,1.1792641e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:48.726686336
23,120,2.44009621e+08,4.39703121e+08,,2.8720442492e+10,queued,1.5881035e+07,1.5881035e+07,4.3970552e+07,1.16590819e+08,3.56216947e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:48.726686336
24,30,9.023776374e+09,9.423791253e+09,,2.41081825087e+11,running,5.022697625e+09,5.022697625e+09,5.223040843e+09,7.024505139e+09,9.32753476e+09,9.425124933e+09,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru-warm,2019-11-09 13:52:48.726686336
25,467,30477,52999,91712,1.6015846e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,3000000000,policy-warm-mz-lru-warm,2019-11-09 13:53:13.238109736
26,166,2.39820755e+08,4.39789336e+08,,3.9553733626e+10,queued,1.5228685e+07,1.5228685e+07,3.9828568e+07,1.16549454e+08,3.44165628e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,3000000000,policy-warm-mz-lru-warm,2019-11-09 13:53:13.238109736
27,492,30595,52169,91712,1.6891688e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,3000000000,policy-warm-mz-lru-warm,2019-11-09 13:53:16.238110648
28,180,2.3982057e+08,4.39703121e+08,,4.2766046903e+10,queued,1.5144065e+07,1.5144065e+07,3.9828568e+07,1.1608513e+08,3.44165628e+08,4.56531256e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,3000000000,policy-warm-mz-lru-warm,2019-11-09 13:53:16.238110648
29,514,31239,54564,93167,1.769296e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,3000000000,policy-warm-mz-lru-warm,2019-11-09 13:53:19.238096810
