,count,quantiles.0.5,quantiles.0.9,quantiles.0.99,sum,labels.type,quantiles.0,quantiles.0.01,quantiles.0.1,quantiles.0.25,quantiles.0.75,quantiles.1,help,name,type,ColdStart,ExpLabel,Timestamp
0,91,36108,58616,2.053241e+06,1.1814807e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,1000000000,policy-warm-mz-lru,2019-11-03 12:41:55.663429970
1,40,2.24117902e+08,3.72463934e+08,,9.807025534e+09,queued,7.1320292e+07,7.1320292e+07,7.2435416e+07,2.18163136e+08,2.71428104e+08,4.72394204e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru,2019-11-03 12:41:55.663429970
2,20,6.262235857e+09,6.275359587e+09,,1.24300233523e+11,running,5.26553139e+09,5.26553139e+09,6.24955021e+09,6.257962346e+09,6.271265604e+09,6.279909183e+09,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru,2019-11-03 12:41:55.663429970
3,120,35356,58616,165472,1.2896916e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,1000000000,policy-warm-mz-lru,2019-11-03 12:41:58.663458286
4,40,2.24117902e+08,3.72463934e+08,,9.807025534e+09,queued,7.1320292e+07,7.1320292e+07,7.2435416e+07,2.18163136e+08,2.71428104e+08,4.72394204e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru,2019-11-03 12:41:58.663458286
5,23,6.259842803e+09,6.274961304e+09,,1.39472882023e+11,running,4.38859926e+09,4.38859926e+09,5.26553139e+09,6.24955021e+09,6.26792967e+09,6.279909183e+09,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,1000000000,policy-warm-mz-lru,2019-11-03 12:41:58.663458286
6,203,35697,61051,275474,1.9281227e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,2000000000,policy-warm-mz-lru,2019-11-03 12:42:15.193299161
7,80,2.71428104e+08,4.2063601e+08,,2.3521379988e+10,queued,7.1173014e+07,7.1173014e+07,7.2435416e+07,2.19318694e+08,4.18582455e+08,4.72394204e+08,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru,2019-11-03 12:42:15.193299161
8,60,6.274840314e+09,9.458994808e+09,,4.24323986797e+11,running,4.38859926e+09,4.38859926e+09,5.396544984e+09,6.199730653e+09,9.446965161e+09,9.481370443e+09,Duration of an invocation in various states.,invocation_monitor_time,SUMMARY,2000000000,policy-warm-mz-lru,2019-11-03 12:42:15.193299161
9,225,35866,61051,712778,2.0868889e+07,,,,,,,,Statistics of scheduler evaluations,workflows_scheduler_eval_time,SUMMARY,2000000000,policy-warm-mz-lru,2019-11-03 12:42:18.193167181
