,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
31,,PROVENANCE,,,,,,4999,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:43.250563642
32,5128,PROVENANCE,2.195583031e+09,4.457557047e+09,1.4247711947e+10,5.285455141e+10,3.3289680034223e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:46.250613418
33,,PROVENANCE,,,,,,5128,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:46.250613418
34,5259,PROVENANCE,2.248353042e+09,4.602631706e+09,1.5489133158e+10,5.8374141527e+10,3.5653554549281e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:49.250476805
35,,PROVENANCE,,,,,,5259,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:49.250476805
36,5427,PROVENANCE,2.315126161e+09,4.806105494e+09,1.6415909155e+10,5.8374141527e+10,3.8692199035872e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:52.250513202
37,,PROVENANCE,,,,,,5427,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:52.250513202
38,5618,PROVENANCE,2.364730041e+09,5.015730502e+09,1.7508561853e+10,5.9796676654e+10,4.2282155131319e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:55.250574019
39,,PROVENANCE,,,,,,5618,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:55.250574019
40,5887,PROVENANCE,2.467114342e+09,5.336316766e+09,1.9104596965e+10,6.2023631155e+10,4.7832695564009e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:58.250485012
41,,PROVENANCE,,,,,,5887,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:58.250485012
42,6254,PROVENANCE,2.607765327e+09,5.785886156e+09,2.1094509604e+10,6.2023631155e+10,5.5453737629497e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:42:01.250955374
43,,PROVENANCE,,,,,,6255,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:42:01.250955374
44,6711,PROVENANCE,2.765994626e+09,6.41730791e+09,2.3337373739e+10,6.6039894243e+10,6.5660990699414e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:42:04.250443548
45,,PROVENANCE,,,,,,6720,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:42:04.250443548
46,7215,PROVENANCE,2.948012176e+09,7.1340948e+09,2.5572098752e+10,7.6108722079e+10,7.7768283468565e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:42:07.250463310
47,,PROVENANCE,,,,,,7215,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:42:07.250463310
48,7770,PROVENANCE,3.201180925e+09,8.114489249e+09,2.8620727248e+10,7.6108722079e+10,9.3356181201488e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:42:10.250619372
49,,PROVENANCE,,,,,,7771,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:42:10.250619372
50,7997,PROVENANCE,3.30037817e+09,8.555107204e+09,2.9501532942e+10,7.6108722079e+10,9.9882307580733e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:42:13.250472411
51,,PROVENANCE,,,,,,7997,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:42:13.250472411
52,7997,PROVENANCE,3.30037817e+09,8.555107204e+09,2.9501532942e+10,7.6108722079e+10,9.9882307580733e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:42:16.250503327
53,,PROVENANCE,,,,,,7997,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:42:16.250503327
54,7997,PROVENANCE,3.30037817e+09,8.555107204e+09,2.9501532942e+10,7.6108722079e+10,9.9882307580733e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:42:19.250498124
55,,PROVENANCE,,,,,,7997,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:42:19.250498124
56,7997,PROVENANCE,3.30037817e+09,8.555107204e+09,2.9501532942e+10,7.6108722079e+10,9.9882307580733e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:42:22.250495664
57,,PROVENANCE,,,,,,7997,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:42:22.250495664
