,ExpLabel,NZones,PercentDFTasks,RunsBeforeFailure,TimeToFailure,Timestamp
0,,2,0.1,5,15775252074,2019-07-31 11:10:26.818210209
1,,2,0.1,1,4817356690,2019-07-31 11:10:31.635628377
2,,2,0.1,0,2508543580,2019-07-31 11:10:34.144208276
3,,2,0.1,12,32511926056,2019-07-31 11:11:06.656179652
4,,2,0.1,9,25013004247,2019-07-31 11:11:31.669229221
5,,2,0.1,2,7527696137,2019-07-31 11:11:39.196980076
6,,2,0.1,21,54917871718,2019-07-31 11:12:34.114898353
7,,2,0.1,4,12643280163,2019-07-31 11:12:46.758227782
8,,2,0.1,3,9938319285,2019-07-31 11:12:56.696595492
9,,2,0.1,0,2409027302,2019-07-31 11:12:59.105661910
10,,2,0.1,8,22589579133,2019-07-31 11:13:21.695291049
11,,2,0.1,2,7425264446,2019-07-31 11:13:29.120601498
12,,2,0.1,8,22500216501,2019-07-31 11:13:51.620854544
13,,2,0.1,22,57510895042,2019-07-31 11:14:49.131787691
14,,2,0.1,6,17665838484,2019-07-31 11:15:06.797669625
15,,2,0.1,1,4817585553,2019-07-31 11:15:11.615293361
16,,2,0.1,1,5018012205,2019-07-31 11:15:16.633362465
17,,2,0.1,0,2508758727,2019-07-31 11:15:19.142162149
18,,2,0.1,11,30012277639,2019-07-31 11:15:49.154479724
19,,2,0.1,5,14955652365,2019-07-31 11:16:04.110206468
20,,2,0.1,9,25089431699,2019-07-31 11:16:29.199677392
21,,2,0.1,1,4915585659,2019-07-31 11:16:34.115308448
22,,2,0.1,2,7524776687,2019-07-31 11:16:41.640124923
23,,2,0.1,1,5017738568,2019-07-31 11:16:46.657901593
24,,2,0.1,30,77688149744,2019-07-31 11:18:04.346082175
25,,2,0.1,2,7432370850,2019-07-31 11:18:11.778490767
26,,2,0.1,0,2410393677,2019-07-31 11:18:14.188921534
27,,2,0.1,5,14950909398,2019-07-31 11:18:29.139894125
28,,2,0.1,10,27499524457,2019-07-31 11:18:56.639491308
29,,2,0.1,22,57625582609,2019-07-31 11:19:54.265117597
30,,2,0.1,2,7526104759,2019-07-31 11:20:01.791257516
31,,2,0.1,4,12340786793,2019-07-31 11:20:14.132083179
32,,2,0.1,0,2509994981,2019-07-31 11:20:16.642118926
33,,2,0.1,1,5018459018,2019-07-31 11:20:21.660649541
34,,2,0.1,23,60111600769,2019-07-31 11:21:21.772292700
35,,2,0.1,8,22378379410,2019-07-31 11:21:44.150714782
36,,2,0.1,8,22678218542,2019-07-31 11:22:06.828984721
37,,2,0.1,0,2308011568,2019-07-31 11:22:09.137043943
38,,2,0.1,10,27503891112,2019-07-31 11:22:36.641004425
39,,2,0.1,0,2508302533,2019-07-31 11:22:39.149366248
40,,2,0.1,1,5020763934,2019-07-31 11:22:44.170172635
41,,2,0.1,1,4926844342,2019-07-31 11:22:49.097060584
42,,2,0.1,9,25089324929,2019-07-31 11:23:14.186425050
43,,2,0.1,0,2408412222,2019-07-31 11:23:16.594880614
44,,2,0.1,15,40036369700,2019-07-31 11:23:56.631288314
45,,2,0.1,22,57495691900,2019-07-31 11:24:54.127018603
46,,2,0.1,4,12662776498,2019-07-31 11:25:06.789837435
47,,2,0.1,2,7324145030,2019-07-31 11:25:14.114661724
48,,2,0.1,2,7526199760,2019-07-31 11:25:21.640901722
