,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
0,2296,PROVENANCE,3.4075251e+07,3.5958695e+07,4.3100067e+07,2.58468371e+08,9.0120520249e+10,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:27.830617097
1,2296,PROVENANCE,3.408221e+07,3.5977156e+07,4.3104903e+07,2.58474681e+08,9.0160840297e+10,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:27.830617097
2,,PROVENANCE,,,,,,2296,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:27.830617097
3,,,,,,,,4,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:27.830617097
4,2597,PROVENANCE,3.4154198e+07,3.6003895e+07,4.3509382e+07,2.58468371e+08,1.01646266453e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:30.830268519
5,2596,PROVENANCE,3.4160439e+07,3.6029143e+07,4.3517463e+07,2.58474681e+08,1.01650044091e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:30.830268519
6,,PROVENANCE,,,,,,2597,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:30.830268519
7,,,,,,,,5,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:30.830268519
8,2896,PROVENANCE,3.4118314e+07,3.5991333e+07,4.3417254e+07,2.58468371e+08,1.12642441919e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:33.830560530
9,2897,PROVENANCE,3.4127105e+07,3.6012242e+07,4.3454104e+07,2.58474681e+08,1.12726057375e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:33.830560530
10,,PROVENANCE,,,,,,2896,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:33.830560530
11,,,,,,,,3,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:33.830560530
12,3198,PROVENANCE,3.4108341e+07,3.6021398e+07,4.3468048e+07,2.58468371e+08,1.23875415162e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:36.830228454
13,3197,PROVENANCE,3.4120658e+07,3.6040188e+07,4.3478076e+07,2.58474681e+08,1.23891506397e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:36.830228454
14,,PROVENANCE,,,,,,3198,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:36.830228454
15,,,,,,,,3,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:36.830228454
16,3496,PROVENANCE,3.402896e+07,3.5928295e+07,4.3034513e+07,2.58468371e+08,1.34504573238e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:39.830715978
17,3496,PROVENANCE,3.4050879e+07,3.5939327e+07,4.304762e+07,2.58474681e+08,1.34560531688e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:39.830715978
18,,PROVENANCE,,,,,,3497,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:39.830715978
19,,,,,,,,3,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:39.830715978
20,3798,PROVENANCE,3.3983204e+07,3.5883184e+07,4.266162e+07,2.58468371e+08,1.45388992127e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:42.830253295
21,3796,PROVENANCE,3.3999894e+07,3.5905024e+07,4.2683993e+07,2.58474681e+08,1.45367246973e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:42.830253295
22,,PROVENANCE,,,,,,3799,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:42.830253295
23,,,,,,,,5,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:42.830253295
24,4096,PROVENANCE,3.4023449e+07,3.5903537e+07,4.2622383e+07,2.58468371e+08,1.56514392265e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:45.830674444
25,4098,PROVENANCE,3.4038053e+07,3.5921153e+07,4.2683993e+07,2.58474681e+08,1.56657751882e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:45.830674444
26,,PROVENANCE,,,,,,4096,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:45.830674444
27,,,,,,,,4,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:45.830674444
28,4396,PROVENANCE,3.3997916e+07,3.5852529e+07,4.2447779e+07,2.58468371e+08,1.6732667115e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:48.830720499
29,4397,PROVENANCE,3.4028902e+07,3.5878791e+07,4.2469655e+07,2.58474681e+08,1.67428212693e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:48.830720499
30,,PROVENANCE,,,,,,4396,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:48.830720499
31,,,,,,,,3,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:48.830720499
32,4696,PROVENANCE,3.3951565e+07,3.5835385e+07,4.2430555e+07,2.58468371e+08,1.78402749832e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:51.830460620
33,4698,PROVENANCE,3.3968912e+07,3.5855247e+07,4.2460884e+07,2.58474681e+08,1.78558379731e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:51.830460620
34,,PROVENANCE,,,,,,4696,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:51.830460620
35,,,,,,,,4,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:51.830460620
36,4995,PROVENANCE,3.3882874e+07,3.5802038e+07,4.2368875e+07,2.58468371e+08,1.89133982929e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:54.830358282
37,4996,PROVENANCE,3.3896407e+07,3.581659e+07,4.239127e+07,2.58474681e+08,1.89254320237e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:54.830358282
38,,PROVENANCE,,,,,,4995,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:54.830358282
39,,,,,,,,4,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:54.830358282
40,5298,PROVENANCE,3.3845357e+07,3.5732388e+07,4.2275485e+07,2.58468371e+08,1.99882970281e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:57.830676782
41,5296,PROVENANCE,3.3855861e+07,3.5749336e+07,4.2286349e+07,2.58474681e+08,1.99886519911e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:22:57.830676782
42,,PROVENANCE,,,,,,5298,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:22:57.830676782
43,,,,,,,,7,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:22:57.830676782
44,5598,PROVENANCE,3.3847536e+07,3.5764639e+07,4.2302445e+07,2.58468371e+08,2.11044365888e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:00.830323125
45,5596,PROVENANCE,3.3859683e+07,3.5780924e+07,4.2322835e+07,2.58474681e+08,2.11049709904e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:00.830323125
46,,PROVENANCE,,,,,,5598,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:23:00.830323125
47,,,,,,,,6,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:23:00.830323125
48,5896,PROVENANCE,3.3845357e+07,3.5778249e+07,4.229197e+07,2.58468371e+08,2.22183629433e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:03.830401374
49,5896,PROVENANCE,3.3859683e+07,3.5789914e+07,4.2303726e+07,2.58474681e+08,2.22274670017e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:03.830401374
50,,PROVENANCE,,,,,,5896,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:23:03.830401374
51,,,,,,,,4,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:23:03.830401374
52,6195,PROVENANCE,3.3906891e+07,3.5883484e+07,4.3375097e+07,2.58468371e+08,2.40330845471e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:06.831308206
53,6199,PROVENANCE,3.3932218e+07,3.5908759e+07,4.3471788e+07,2.58474681e+08,2.4062231603e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:06.831308206
54,,PROVENANCE,,,,,,6195,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:23:06.831308206
55,,,,,,,,4,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:23:06.831308206
56,6497,PROVENANCE,3.3887579e+07,3.5926372e+07,4.447241e+07,2.58468371e+08,2.54043657091e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:09.830587872
57,6496,PROVENANCE,3.3905327e+07,3.5939327e+07,4.4479111e+07,2.58474681e+08,2.54117701814e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:09.830587872
58,,PROVENANCE,,,,,,6497,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:23:09.830587872
59,,,,,,,,4,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:23:09.830587872
60,6795,PROVENANCE,3.3913922e+07,3.5962611e+07,4.4959917e+07,2.58468371e+08,2.675328063e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:12.830759486
61,6798,PROVENANCE,3.3937486e+07,3.5977156e+07,4.5002985e+07,2.58474681e+08,2.6778202109e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:12.830759486
62,,PROVENANCE,,,,,,6798,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:23:12.830759486
63,,,,,,,,5,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:23:12.830759486
64,7099,PROVENANCE,3.3887579e+07,3.5958695e+07,4.4874269e+07,2.58468371e+08,2.78738874103e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:15.830850075
65,7096,PROVENANCE,3.3905327e+07,3.5970618e+07,4.4901835e+07,2.58474681e+08,2.78726098592e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:15.830850075
66,,PROVENANCE,,,,,,7099,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:23:15.830850075
67,,,,,,,,7,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:23:15.830850075
68,7397,PROVENANCE,3.3865299e+07,3.592586e+07,4.4700877e+07,2.58468371e+08,2.89529719579e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:18.830467003
69,7396,PROVENANCE,3.387858e+07,3.5934256e+07,4.4733252e+07,2.58474681e+08,2.89616206569e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:18.830467003
70,,PROVENANCE,,,,,,7397,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-29 19:23:18.830467003
71,,,,,,,,4,,dispatcher_concurrent_enforcers,GAUGE,time-to-violation,100,2019-09-29 19:23:18.830467003
72,7696,PROVENANCE,3.3849978e+07,3.5902322e+07,4.4537946e+07,2.58468371e+08,3.00339927487e+11,,,dispatcher_enforce_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:21.831081134
73,7699,PROVENANCE,3.3869911e+07,3.5912386e+07,4.4575284e+07,2.58474681e+08,3.00633606211e+11,,,dispatcher_total_time,SUMMARY,time-to-violation,100,2019-09-29 19:23:21.831081134
